 id,       date,     time, type, cat, task, points, quest
  1, 2025-04-11, 12:00:00, prac, kff,   fz,     13,    15
  2, 2025-04-13, 12:00:00, prac, kff,   fz,     10,    15
  3, 2025-04-15, 22:11:00, prac, kff,   gm,      3,     6
  4, 2025-04-17, 12:00:00, prac, kff,   wf,      7,    15
  5, 2025-04-17, 13:00:00, prac, sek,   ee,      3,    14
  6, 2025-04-17, 14:00:00, prac, kff,   fz,     12,    15
  7, 2025-04-17, 15:30:00, prac, kff,   gm,      0,     6
  8, 2025-04-17, 18:01:01, prac, kff,   gm,      1,     6
  9, 2025-04-19, 12:00:00, prac, kff,   ie,      8,    10
 10, 2025-04-19, 18:28:00, prac, kff,   gm,      2,     6
 11, 2025-04-20, 12:00:00, prac, kff,   wf,      7,    15
 12, 2025-04-20, 11:36:00, prac, kff,   gm,      3,     6
 13, 2025-04-21, 12:00:00, prac, kff,   zf,      9,    10
 14, 2025-04-21, 13:00:00, prac, sek,   ee,      6,    14
 15, 2025-04-21, 14:00:00, prac, sek,   er,     10,    12
 16, 2025-04-21, 18:15:00, prac, kff,   gm,      3,     6
 17, 2025-04-22, 12:00:00, prac, kff,   zf,      8,    10
 18, 2025-04-22, 13:00:00, prac, kff,   ie,      9,    10
 19, 2025-04-22, 23:33:00, prac, kff,   gm,      1,     6
 20, 2025-04-23, 12:00:00, prac, sek,   ee,     11,    14
 21, 2025-04-23, 13:00:00, prac, sek,   er,     12,    12
 22, 2025-04-23, 22:06:00, prac, kff,   gm,      3,     6
 23, 2025-04-24, 12:00:00, prac, kff,   zf,      9,    10
 24, 2025-04-24, 13:00:00, prac, kff,   fz,     15,    15
 25, 2025-04-24, 14:00:00, prac, kff,   wf,      8,    15
 26, 2025-04-24, 15:21:00, prac, kff,   gm,      4,     6
 27, 2025-04-24, 16:48:00, prac, kff,   gm,      3,     6
 28, 2025-04-25, 12:00:00, prac, kff,   ie,     10,    10
 29, 2025-04-25, 13:00:00, prac, kff,   wf,      5,    15
 30, 2025-04-25, 14:00:00, prac, sek,   er,     10,    12
 31, 2025-04-25, 15:00:00, prac, sek,   ee,      6,    14
 32, 2025-04-25, 16:00:00, prac, sek,   se,     14,    14
 33, 2025-04-25, 18:15:00, prac, kff,   gm,      4,    12
 34, 2025-04-25, 19:19:00, prac, kff,   gm,      5,    12
 35, 2025-04-26, 12:00:00, prac, kff,   fz,     12,    15
 36, 2025-04-26, 12:34:00, prac, kff,   gm,      5,    12
 37, 2025-04-26, 13:00:00, prac, kff,   zf,     10,    10
 38, 2025-04-26, 14:00:00, prac, kff,   wf,      5,    15
 39, 2025-04-26, 14:39:00, prac, kff,   gm,      8,    12
 40, 2025-04-26, 15:00:00, prac, kff,   ie,      8,    10
 41, 2025-04-26, 16:00:00, prac, kff,   zf,     10,    10
 42, 2025-04-26, 17:00:00, prac, kff,   zf,     10,    10
 43, 2025-04-26, 18:00:00, prac, kff,   zf,     10,    10
 44, 2025-04-26, 19:00:00, prac, kff,   wf,      6,    15
 45, 2025-04-26, 19:08:00, prac, kff,   gm,      3,    12
 46, 2025-04-27, 12:00:00, prac, kff,   zf,     10,    10
 47, 2025-04-27, 13:00:00, prac, sek,   se,     14,    14
 48, 2025-04-27, 14:00:00, prac, sek,   se,     13,    14
 49, 2025-04-27, 15:00:00, prac, kff,   ie,     10,    10
 50, 2025-04-27, 16:00:00, prac, kff,   tv,      3,     6
 51, 2025-04-27, 17:40:00, prac, kff,   gm,     16,    25
 52, 2025-04-28, 12:00:00, prac, kff,   zf,     10,    10
 53, 2025-04-28, 13:00:00, prac, kff,   zf,      9,    10
 53, 2025-04-28, 13:44:00, prac, kff,   gm,     19,    25
 54, 2025-04-28, 14:00:00, prac, kff,   ie,      9,    10
 55, 2025-04-28, 15:00:00, prac, kff,   fz,     13,    15
 56, 2025-04-28, 20:24:00, prac, kff,   gm,     16,    25
 57, 2025-04-29, 12:00:00, prac, kff,   ie,      9,    10
 58, 2025-04-29, 13:00:00, prac, kff,   wf,     11,    15
 59, 2025-04-29, 14:00:00, prac,  tv,   tv,      6,     6
 60, 2025-04-29, 21:19:00, prac, kff,   gm,     15,    25
 61, 2025-04-30, 12:00:00, prac, kff,   wf,     10,    15
 62, 2025-04-30, 18:25:00, prac, kff,   gm,     11,    25
 63, 2025-05-01, 15:31:00, prac, sek,   er,     11,    12
 64, 2025-05-01, 16:18:00, prac, sek,   ee,     10,    14
 65, 2025-05-01, 16:53:00, prac, sek,   se,     12,    14
 66, 2025-05-01, 17:59:58, prac, kff,   wf,     14,    15
 67, 2025-05-01, 19:00:00, prac,  tv,   tv,      5,     6
 68, 2025-05-02, 11:15:00, prac, kff,   zf,     10,    10
 69, 2025-05-02, 11:54:00, prac, kff,   gm,     22,    25
 70, 2025-05-02, 12:15:00, prac, kff,   fz,     13,    15
 71, 2025-05-02, 13:13:00, prac,  tv,   tv,      5,     6
 72, 2025-05-02, 13:29:00, prac, kff,   ie,     10,    10
 73, 2025-05-02, 13:46:00, prac, kff,   wf,     14,    15
 74, 2025-05-03, 15:15:00, prac, kff,   wf,     15,    15
 75, 2025-05-03, 15:47:59, prac, kff,   gm,     20,    25
 76, 2025-05-03, 16:36:00, prac,  tv,   tv,      2,     6
 77, 2025-05-03, 20:54:07, prac, sek,   er,     12,    12
 78, 2025-05-03, 21:21:09, prac, sek,   ee,      8,    14
 79, 2025-05-03, 21:47:58, prac, sek,   se,     12,    14
 80, 2025-05-04, 14:40:21,  sim, bms,   bi,      7,    10
 81, 2025-05-04, 14:43:01,  sim, bms,   ch,      3,     6
 82, 2025-05-04, 14:49:00,  sim, bms,   ph,      2,     6
 83, 2025-05-04, 14:51:30,  sim, bms,   ma,      2,     4
 84, 2025-05-04, 14:59:10,  sim,  tv,   tv,      2,     3
 85, 2025-05-04, 15:02:32,  sim, kff,   fz,      2,     4
 86, 2025-05-04, 15:28:43,  sim, kff,   gm,      6,     6
 87, 2025-05-04, 15:33:00,  sim, kff,   zf,      3,     3
 88, 2025-05-04, 15:39:00,  sim, kff,   wf,      2,     4
 89, 2025-05-04, 15:44:00,  sim, kff,   ie,      3,     3
 90, 2025-05-04, 15:47:36,  sim, sek,   er,      3,     3
 91, 2025-05-04, 15:53:52,  sim, sek,   ee,      2,     4
 92, 2025-05-04, 16:00:00,  sim, sek,   se,      4,     4
 93, 2025-05-04, 16:44:21, prac, kff,   zf,      9,    10
 94, 2025-05-04, 17:01:05, prac, kff,   zf,     10,    10
 95, 2025-05-04, 17:44:39, prac, kff,   wf,     11,    15
 96, 2025-05-05, 17:52:08, prac, kff,   zf,     15,    15
 97, 2025-05-05, 18:11:20, prac, kff,   fz,      5,    15
 98, 2025-05-05, 18:28:31, prac, kff,   gm,     23,    25
 99, 2025-05-05, 18:57:16, prac,  tv,   tv,      3,     6
100, 2025-05-05, 19:20:17, prac, kff,   wf,     14,    15
101, 2025-05-05, 19:38:24, prac, sek,   er,     11,    12
102, 2025-05-06, 21:12:29, prac,  tv,   tv,      2,     6
103, 2025-05-06, 21:47:05, prac, kff,   zf,      8,    10
104, 2025-05-06, 22:11:53, prac, kff,   wf,     15,    15
105, 2025-05-07, 09:38:56, prac, kff,   zf,     10,    10
107, 2025-05-07, 10:05:14, prac, kff,   gm,     20,    25
108, 2025-05-07, 12:37:12, prac, kff,   wf,     11,    15
109, 2025-05-07, 13:08:05, prac, kff,   ie,      8,    10
110, 2025-05-08, 20:48:10, prac, kff,   fz,     15,    15
111, 2025-05-08, 21:17:39, prac, kff,   wf,     14,    15
112, 2025-05-08, 21:35:14, prac, sek,   er,     12,    12
113, 2025-05-08, 22:04:22, prac, sek,   ee,      6,    14
114, 2025-05-08, 22:29:00, prac, sek,   se,     13,    14
115, 2025-05-08, 23:27:30, prac, kff,   zf,     10,    10
116, 2025-05-09, 00:09:50, prac, kff,   zf,      8,    10
117, 2025-05-09, 12:22:00, prac,  tv,   tv,     10,    12
118, 2025-05-09, 14:18:00, prac, kff,   gm,     24,    25
119, 2025-05-09, 15:01:00, prac, kff,   wf,     14,    15
120, 2025-05-09, 15:20:00, prac, sek,   ee,      9,    14
121, 2025-05-10, 17:17:00, prac, kff,   wf,     13,    15
122, 2025-05-10, 17:48:00, prac, kff,   gm,     21,    25
